City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,sal rei,16.1833,-22.9167,75.76,77,88,10.02,CV,1627624728
290,waingapu,-9.6567,120.2641,86.14,55,11,15.75,ID,1627624728
291,kasama,-10.2129,31.1808,58.6,53,0,8.7,ZM,1627624728
292,maragogi,-9.0122,-35.2225,71.89,84,56,1.95,BR,1627624729
293,zeya,53.75,127.2667,68.31,59,35,10.49,RU,1627624729
294,laureles,26.1092,-97.4941,80.11,47,58,1.01,US,1627624729
295,inhambane,-23.865,35.3833,58.98,94,20,3.44,MZ,1627624729
296,gazanjyk,39.2446,55.5154,86.9,37,23,2.93,TM,1627624730
297,itaituba,-4.2761,-55.9836,72.73,65,75,1.63,BR,1627624730
298,bo phloi,14.3236,99.5161,96.31,49,100,13.44,TH,1627624730
299,ilulissat,69.2167,-51.1,38.86,65,51,5.73,GL,1627624731
300,sibolga,1.7427,98.7792,85.86,64,99,5.77,ID,1627624731
301,beloha,-25.1667,45.05,71.49,59,1,6.02,MG,1627624731
302,aban,56.67,96.06,70.27,50,24,4.74,RU,1627624731
303,yulara,-25.2406,130.9889,82.24,23,0,21.85,AU,1627624732
304,fairbanks,64.8378,-147.7164,67.1,75,83,1.01,US,1627624732
305,dingzhou,38.5131,114.9956,87.91,62,85,4.25,CN,1627624732
306,biryusinsk,55.9634,97.8235,70.57,51,100,3.4,RU,1627624733
307,cuajinicuilapa,16.4667,-98.4167,74.91,93,100,4.81,MX,1627624733
308,guerrero negro,27.9769,-114.0611,70.65,82,55,12.88,MX,1627624733
309,paamiut,61.994,-49.6678,42.46,91,100,4.52,GL,1627624734
310,muisne,0.6,-80.0333,74.48,85,99,8.37,EC,1627624734
311,road town,18.4167,-64.6167,82.2,79,100,18.81,VG,1627624734
312,lafia,8.4833,8.5167,72.61,95,100,7.29,NG,1627624735
313,usakos,-22.0,15.6,54.7,31,0,12.53,NA,1627624735
314,sozimskiy,59.7418,52.2482,63.0,93,100,7.56,RU,1627624735
315,sorland,67.667,12.6934,49.86,87,78,26.8,NO,1627624736
316,auki,-8.7676,160.7034,83.89,69,7,1.48,SB,1627624736
317,velyka mykhaylivka,47.0794,29.8514,77.76,64,0,12.66,UA,1627624736
318,sao miguel do araguaia,-13.275,-50.1628,63.43,31,0,7.09,BR,1627624737
319,opuwo,-18.0607,13.84,54.07,28,6,11.77,NA,1627624737
320,hasaki,35.7333,140.8333,86.4,73,18,5.95,JP,1627624737
321,laguna,38.421,-121.4238,89.44,47,40,4.61,US,1627624738
322,tilichiki,60.4667,166.1,53.17,53,70,16.62,RU,1627624738
323,mao,39.8885,4.2658,75.76,88,20,3.44,ES,1627624738
324,cairns,-16.9167,145.7667,88.95,63,3,4.61,AU,1627624739
325,pervomayskiy,53.2485,40.2871,79.12,54,8,7.09,RU,1627624739
326,revda,56.801,59.9303,70.61,94,100,9.91,RU,1627624739
327,harper,4.375,-7.7169,74.8,87,78,4.05,LR,1627624740
328,sitka,57.0531,-135.33,60.62,75,3,2.51,US,1627624740
329,palana,59.1167,159.9667,46.76,75,5,9.86,RU,1627624740
330,ciudad bolivar,8.1222,-63.5497,73.58,92,86,7.2,VE,1627624741
331,yelabuga,55.7613,52.0649,67.55,70,93,11.39,RU,1627624741
332,carnarvon,-24.8667,113.6333,71.67,62,61,18.41,AU,1627624741
333,verkhnyaya inta,65.9811,60.3094,54.03,65,98,11.92,RU,1627624741
334,hobyo,5.3505,48.5268,79.25,71,99,26.84,SO,1627624742
335,skibbereen,51.55,-9.2667,57.0,89,100,10.87,IE,1627624742
336,obodivka,48.4051,29.2477,71.19,72,0,7.38,UA,1627624742
337,rocha,-34.4833,-54.3333,38.41,82,5,4.27,UY,1627624743
338,shu,43.5983,73.7614,83.12,29,79,4.61,KZ,1627624743
339,pemba,-12.974,40.5178,72.3,83,75,8.01,MZ,1627624743
340,constitucion,-35.3333,-72.4167,50.38,76,0,3.33,CL,1627624744
341,petropavlovsk-kamchatskiy,53.0452,158.6483,73.99,83,75,2.24,RU,1627624744
342,nisia floresta,-6.0911,-35.2086,73.78,92,59,5.12,BR,1627624744
343,axim,4.8699,-2.2405,75.06,89,17,5.55,GH,1627624744
